MODEL,EPOCHS,LEARNING_RATE,TRAINING_IMGSIZE,TOTAL_IMAGES,PREPROCESSING,AUGMENTATIONS,PREDICT_IMAGES,PRECISION,RECALL,F1_SCORE,PREDICT_TIME_PER_IMAGE
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,no,5,0.865,0.826,0.845,0.188
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,contrast enhancement & 2x,5,0.803,0.89,0.844,0.121
Mask RCNN,50,0.0001,480x480,45,erosion,no,5,0.899,0.793,0.843,0.293
Mask RCNN,50,0.0001,480x480,45,resize 720x720 & gaussian filter,flip horizontal vertical & 2x,5,0.922,0.774,0.842,0.137
Mask RCNN,50,0.0001,480x480,63,adaptive median filter 3,sharp & 2x,5,0.886,0.802,0.842,0.099
Mask RCNN,75,0.0001,480x480,45,gaussian filter,flip horizontal vertical & 2x,5,0.92,0.775,0.841,0.209
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 3,rotate & 2x,5,0.897,0.789,0.84,0.096
UNet,50,0.0001,480x480,45,no,flip horizontal vertical & 2x,5,0.903,0.785,0.84,0.262
Mask RCNN,75,0.0001,640x640,45,gaussian filter,flip horizontal vertical & 2x,5,0.902,0.784,0.839,0.292
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 3,contrast enhancement & 2x,5,0.789,0.894,0.838,0.095
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,rotate & flip horizontal vertical & brightness & gaussian blur & contrast enhancement & sharp & 2x,5,0.907,0.779,0.838,0.214
Mask RCNN,75,0.0001,480x480,45,no,flip horizontal vertical & 2x,5,0.895,0.787,0.838,0.169
UNet,75,0.0001,720x720,45,no,flip horizontal vertical & 2x,5,0.882,0.798,0.838,0.566
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 3,rotate & flip horizontal vertical & brightness & gaussian blur & contrast enhancement & sharp & 2x,5,0.759,0.932,0.837,0.095
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,crop & 2x,5,0.912,0.773,0.837,0.847
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,translate & 2x,5,0.92,0.768,0.837,0.127
Mask RCNN,50,0.0001,480x480,63,adaptive median filter 3,gaussian blur & 2x,5,0.9,0.783,0.837,0.116
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 7,flip horizontal vertical & 2x,5,0.922,0.764,0.836,0.148
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 3,crop & rotate & brightness & scale & translate & 2x,5,0.89,0.787,0.835,0.813
