MODEL,EPOCHS,LEARNING_RATE,TRAINING_IMGSIZE,TOTAL_IMAGES,PREPROCESSING,AUGMENTATIONS,PREDICT_IMAGES,PRECISION,RECALL,F1_SCORE,PREDICT_TIME_PER_IMAGE
UNet,50,0.0001,640x640,45,no,flip horizontal vertical & 2x,5,0.937,0.638,0.759,0.144
UNet,75,0.0001,640x640,45,grayscale,no,5,0.835,0.696,0.759,0.277
Mask RCNN,50,0.0001,480x480,63,no,no,7,0.789,0.73,0.758,0.753
UNet,75,0.0001,480x480,45,gaussian filter & grayscale,flip horizontal vertical & 2x,5,0.726,0.793,0.758,0.189
HRNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,scale & 2x,5,0.888,0.66,0.757,4.731
Mask RCNN,50,0.0001,480x480,45,grayscale & sharpening & adaptive median filter 5 & bilateral smooth filter 5 50 50,no,5,0.792,0.725,0.757,0.223
Mask RCNN,50,0.0001,480x480,63,adaptive median filter 3,crop & 2x,7,0.845,0.685,0.757,0.743
UNet,75,0.0001,720x720,45,grayscale,no,5,0.722,0.795,0.757,0.451
Mask RCNN,50,0.0001,480x480,45,grayscale & sharpening & adaptive median filter 5 & bilateral smooth filter 5 50 50,flip horizontal vertical & 2x,5,0.834,0.691,0.756,0.223
Mask RCNN,50,0.0001,480x480,45,resize 640x640 & hair removal & gaussian filter,no,5,0.902,0.651,0.756,0.164
PSPNet,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,crop & 2x,7,0.618,0.973,0.756,0.797
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 3 & gaussian filter & contrast enhancement,no,5,0.635,0.93,0.755,0.834
YOLOv8n,50,0.0001,720x720,45,no,flip horizontal vertical & 2x,5,0.807,0.71,0.755,1.131
Mask RCNN,50,0.0001,480x480,45,resize 640x640 & adaptive median filter 3 & grayscale,flip horizontal vertical & 2x,5,0.793,0.719,0.754,0.099
UNet,50,0.0001,640x640,45,grayscale,no,5,0.685,0.838,0.754,0.138
Mask RCNN,50,0.0001,480x480,45,color histogram,flip horizontal vertical & 2x,5,0.825,0.693,0.753,0.23
FCN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,flip horizontal vertical & 2x,5,0.967,0.615,0.752,0.262
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 5 & gaussian filter & contrast enhancement,flip horizontal vertical & 2x,5,0.637,0.917,0.752,0.116
Mask RCNN,50,0.0001,480x480,45,resize 720x720 & adaptive median filter 7 & grayscale,flip horizontal vertical & 2x,5,0.709,0.8,0.752,0.295
Mask RCNN,75,0.0001,640x640,63,gaussian filter,flip horizontal vertical & 2x,7,0.802,0.708,0.752,0.084
YOLOv8n,50,0.0001,720x720,45,no,no,5,0.8,0.71,0.752,1.18
Mask RCNN,50,0.0001,480x480,45,resize 640x640 & adaptive median filter 7 & grayscale,flip horizontal vertical & 2x,5,0.69,0.823,0.751,0.166
Mask RCNN,50,0.0001,480x480,45,resize 640x640 & gaussian filter,no,5,0.661,0.863,0.749,0.109
Mask RCNN,50,0.0001,480x480,45,resize 720x720,flip horizontal vertical & 2x,5,0.941,0.622,0.749,0.135
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,gaussian blur & 2x,5,0.944,0.619,0.748,0.115
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,translate & 2x,7,0.843,0.673,0.748,0.095
SegNet,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,translate & 2x,7,0.842,0.673,0.748,0.623
YOLOv8n,75,0.0001,640x640,45,no,flip horizontal vertical & 2x,5,0.76,0.736,0.748,1.157
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,rotate & flip horizontal vertical & shear & brightness & scale & zoom in & 2x,7,0.861,0.659,0.747,0.086
Mask RCNN,50,0.0001,480x480,45,resize 720x720 & adaptive median filter 5 & grayscale,flip horizontal vertical & 2x,5,0.847,0.667,0.746,0.12
Mask RCNN,50,0.0001,480x480,63,adaptive median filter 3,shear & 2x,7,0.856,0.661,0.746,0.72
Mask RCNN,75,0.0001,640x640,45,gaussian filter & grayscale,flip horizontal vertical & 2x,5,0.767,0.726,0.746,0.325
UNet,50,0.0001,640x640,45,gaussian filter,flip horizontal vertical & 2x,5,0.874,0.651,0.746,0.195
Mask RCNN,50,0.0001,480x480,63,resize 640x640 & hair removal & gaussian filter,no,7,0.853,0.661,0.745,0.131
YOLOv8n,75,0.0001,640x640,45,grayscale,flip horizontal vertical & 2x,5,0.824,0.679,0.745,1.099
Mask RCNN,50,0.0001,480x480,45,resize 480x480 & adaptive median filter 5 & grayscale,no,5,0.638,0.893,0.744,1.045
UNet,50,0.0001,720x720,45,gaussian filter,flip horizontal vertical & 2x,5,0.93,0.62,0.744,0.323
BiseNet,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,translate & 2x,7,0.626,0.913,0.743,0.185
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,no,5,0.949,0.611,0.743,0.167
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,zoom in & 2x,7,0.841,0.665,0.743,0.105
Mask RCNN,50,0.0001,720x720,45,grayscale,no,5,0.672,0.831,0.743,0.299
UNet,50,0.0001,640x640,45,grayscale,flip horizontal vertical & 2x,5,0.868,0.65,0.743,0.149
Mask RCNN,50,0.0001,480x480,45,erosion,flip horizontal vertical & 2x,5,0.943,0.612,0.742,0.315
Mask RCNN,50,0.0001,480x480,45,resize 720x720 & adaptive median filter 3 & grayscale,flip horizontal vertical & 2x,5,0.851,0.658,0.742,0.1
Mask RCNN,50,0.0001,480x480,63,color histogram,flip horizontal vertical & 2x,7,0.836,0.665,0.741,0.183
Mask RCNN,50,0.0001,480x480,63,resize 480x480,no,7,0.828,0.67,0.741,0.805
Mask RCNN,50,0.0001,480x480,63,resize 720x720 & gaussian filter,flip horizontal vertical & 2x,7,0.933,0.615,0.741,0.105
Mask RCNN,75,0.0001,720x720,63,no,flip horizontal vertical & 2x,7,0.866,0.647,0.741,0.129
Mask RCNN,75,0.0001,720x720,63,no,no,7,0.83,0.67,0.741,1.453
UNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,flip horizontal vertical & 2x,5,0.954,0.606,0.741,0.121
UNet,75,0.0001,720x720,63,gaussian filter,flip horizontal vertical & 2x,7,0.873,0.643,0.741,0.161
Mask RCNN,50,0.0001,480x480,63,adaptive median filter 3,zoom in & 2x,7,0.829,0.668,0.74,0.771
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 5 50 50,no,7,0.837,0.663,0.74,0.153
SegNet,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,scale & 2x,7,0.714,0.768,0.74,0.642
UNet,50,0.0001,720x720,45,grayscale,no,5,0.755,0.724,0.739,0.251
Mask RCNN,50,0.0001,480x480,45,grayscale & sharpening & adaptive median filter 3 & bilateral smooth filter 9 75 75,flip horizontal vertical & 2x,5,0.609,0.937,0.738,1.07
Mask RCNN,75,0.0001,480x480,63,no,flip horizontal vertical & 2x,7,0.871,0.64,0.738,0.133
PSPNet,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,crop & 2x,7,0.592,0.978,0.738,0.617
YOLOv8n,75,0.0001,640x640,45,grayscale,no,5,0.751,0.725,0.738,1.116
HRNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,flip horizontal vertical & 2x,5,0.588,0.988,0.737,1.105
Mask RCNN,50,0.0001,480x480,63,erosion,no,7,0.824,0.666,0.737,0.231
Mask RCNN,50,0.0001,480x480,63,resize 480x480 & gaussian filter,flip horizontal vertical & 2x,7,0.812,0.675,0.737,0.084
Mask RCNN,50,0.0001,480x480,63,resize 640x640 & gaussian filter,no,7,0.811,0.675,0.737,0.09
YOLOv8n,50,0.0001,640x640,45,gaussian filter,flip horizontal vertical & 2x,5,0.835,0.66,0.737,1.096
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,crop & rotate & brightness & scale & translate & 2x,7,0.822,0.663,0.734,0.118
Mask RCNN,50,0.0001,480x480,63,resize 480x480 & hair removal & gaussian filter,no,7,0.812,0.669,0.734,0.117
Mask RCNN,50,0.0001,720x720,45,grayscale,flip horizontal vertical & 2x,5,0.858,0.642,0.734,0.364
Mask RCNN,50,0.0001,480x480,63,dilation,no,7,0.845,0.645,0.732,0.198
Mask RCNN,50,0.0001,480x480,45,resize 480x480 & hair removal & gaussian filter,no,5,0.929,0.603,0.731,0.146
Mask RCNN,50,0.0001,480x480,63,sharpening,flip horizontal vertical & 2x,7,0.898,0.616,0.731,0.127
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,sharp & 2x,5,0.599,0.935,0.73,0.109
Mask RCNN,50,0.0001,480x480,63,adaptive median filter 3,no,7,0.833,0.649,0.73,0.762
UNet,75,0.0001,480x480,45,grayscale,flip horizontal vertical & 2x,5,0.6,0.931,0.73,0.142
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,shear & 2x,7,0.861,0.632,0.729,0.127
UNet,50,0.0001,480x480,63,gaussian filter,flip horizontal vertical & 2x,7,0.807,0.665,0.729,0.267
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,no,7,0.86,0.63,0.727,0.127
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 3 & gaussian filter & contrast enhancement,flip horizontal vertical & 2x,5,0.593,0.932,0.725,0.098
Mask RCNN,50,0.0001,480x480,45,resize 480x480 & adaptive median filter 3 & grayscale,flip horizontal vertical & 2x,5,0.869,0.622,0.725,0.253
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,rotate & flip horizontal vertical & shear & brightness & scale & zoom in & 2x,7,0.89,0.612,0.725,0.109
Mask RCNN,75,0.0001,640x640,63,no,no,7,0.84,0.637,0.725,1.275
Mask RCNN,50,0.0001,640x640,63,no,no,7,0.846,0.632,0.724,1.388
UNet,50,0.0001,480x480,45,grayscale,no,5,0.59,0.936,0.724,0.252
UNet,75,0.0001,720x720,63,no,no,7,0.848,0.632,0.724,0.406
YOLOv8n,50,0.0001,640x640,63,no,flip horizontal vertical & 2x,7,0.795,0.665,0.724,0.838
Mask RCNN,50,0.0001,480x480,45,contrast enhancement,no,5,0.826,0.643,0.723,0.255
Mask RCNN,50,0.0001,640x640,45,grayscale,flip horizontal vertical & 2x,5,0.885,0.611,0.723,0.211
Mask RCNN,75,0.0001,480x480,63,grayscale,flip horizontal vertical & 2x,7,0.611,0.885,0.723,0.142
YOLOv8n,50,0.0001,640x640,45,no,flip horizontal vertical & 2x,5,0.789,0.667,0.723,1.18
YOLOv8n,75,0.0001,720x720,45,gaussian filter,flip horizontal vertical & 2x,5,0.752,0.696,0.723,1.1
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,brightness & 2x,7,0.85,0.628,0.722,0.749
Mask RCNN,50,0.0001,480x480,63,adaptive median filter 3,rotate & 2x,7,0.869,0.615,0.72,0.692
Mask RCNN,50,0.0001,480x480,63,color histogram,no,7,0.822,0.641,0.72,0.175
Mask RCNN,50,0.0001,480x480,63,resize 640x640 & gaussian filter,flip horizontal vertical & 2x,7,0.909,0.596,0.72,0.091
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,rotate & flip horizontal vertical & shear & brightness & scale & zoom in & 2x,5,0.95,0.578,0.719,0.118
Mask RCNN,50,0.0001,480x480,63,contrast enhancement,flip horizontal vertical & 2x,7,0.844,0.624,0.718,0.185
UNet,50,0.0001,640x640,63,gaussian filter,no,7,0.683,0.754,0.717,0.161
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,translate & 2x,7,0.867,0.61,0.716,0.123
HRNet,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,scale & 2x,7,0.577,0.939,0.715,0.24
UNet,75,0.0001,640x640,63,grayscale,flip horizontal vertical & 2x,7,0.803,0.645,0.715,0.245
YOLOv8n,75,0.0001,720x720,63,no,flip horizontal vertical & 2x,7,0.744,0.688,0.715,0.826
Mask RCNN,50,0.0001,480x480,45,hair removal,no,5,0.92,0.584,0.714,0.301
UNet,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,flipHorizontalVertical & 2x,7,0.878,0.602,0.714,0.128
BiseNet,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,translate & 2x,7,0.583,0.919,0.713,0.283
Mask RCNN,50,0.0001,480x480,45,color histogram,no,5,0.66,0.776,0.713,0.225
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,brightness & 2x,7,0.85,0.614,0.713,0.119
Mask RCNN,50,0.0001,480x480,63,resize 640x640,flip horizontal vertical & 2x,7,0.868,0.605,0.713,0.093
Mask RCNN,50,0.0001,480x480,63,resize 480x480 & hair removal & gaussian filter,flip horizontal vertical & 2x,7,0.865,0.604,0.711,0.115
YOLOv8n,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,scale & 2x,5,0.727,0.695,0.711,1.361
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,flipHorizontalVertical & 2x,7,0.869,0.6,0.71,0.096
Mask RCNN,50,0.0001,480x480,63,adaptive median filter 3,flipHorizontalVertical & 2x,7,0.871,0.596,0.708,0.75
Mask RCNN,50,0.0001,480x480,63,hair removal,flip horizontal vertical & 2x,7,0.862,0.601,0.708,0.228
FCN,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,flipHorizontalVertical & 2x,7,0.899,0.583,0.707,0.171
FCN,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,translate & 2x,7,0.863,0.599,0.707,0.181
Mask RCNN,50,0.0001,480x480,45,gaussian filter & grayscale,flip horizontal vertical & 2x,5,0.61,0.841,0.707,0.153
YOLOv8n,50,0.0001,720x720,45,gaussian filter,flip horizontal vertical & 2x,5,0.753,0.667,0.707,1.125
YOLOv8n,75,0.0001,640x640,63,no,no,7,0.679,0.737,0.707,0.844
Mask RCNN,50,0.0001,480x480,45,contrast enhancement,flip horizontal vertical & 2x,5,0.905,0.579,0.706,0.249
Mask RCNN,75,0.0001,640x640,63,no,flip horizontal vertical & 2x,7,0.869,0.594,0.706,0.212
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,rotate & shear & flip horizontal vertical & brightness & translate & zoom in & 2x,7,0.881,0.588,0.705,0.127
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,sharp & 2x,5,0.553,0.969,0.704,0.12
Mask RCNN,75,0.0001,720x720,63,gaussian filter,no,7,0.848,0.602,0.704,0.161
Mask RCNN,50,0.0001,480x480,63,hair removal,no,7,0.853,0.596,0.702,0.227
Mask RCNN,50,0.0001,480x480,63,resize 720x720 & adaptive median filter 5 & grayscale,flip horizontal vertical & 2x,7,0.651,0.759,0.701,0.096
UNet,75,0.0001,720x720,45,gaussian filter,flip horizontal vertical & 2x,5,0.942,0.558,0.701,0.171
YOLOv8n,75,0.0001,720x720,63,no,no,7,0.766,0.646,0.701,0.855
Mask RCNN,50,0.0001,480x480,45,dilation,flip horizontal vertical & 2x,5,0.967,0.549,0.7,0.263
Mask RCNN,50,0.0001,480x480,63,adaptive median filter 5,flip horizontal vertical & 2x,7,0.877,0.583,0.7,0.09
Mask RCNN,50,0.0001,480x480,45,sharpening,flip horizontal vertical & 2x,5,0.941,0.556,0.699,0.164
Mask RCNN,50,0.0001,720x720,63,gaussian filter,flip horizontal vertical & 2x,7,0.766,0.641,0.698,0.113
Mask RCNN,50,0.0001,480x480,45,resize 480x480 & gaussian filter,flip horizontal vertical & 2x,5,0.928,0.558,0.697,0.097
Mask RCNN,50,0.0001,640x640,63,gaussian filter,flip horizontal vertical & 2x,7,0.885,0.574,0.696,0.185
UNet,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,translate & 2x,7,0.871,0.58,0.696,0.131
UNet,75,0.0001,480x480,63,grayscale,no,7,0.633,0.773,0.696,0.128
Mask RCNN,50,0.0001,480x480,63,adaptive median filter 5,no,7,0.872,0.578,0.695,0.089
Mask RCNN,50,0.0001,480x480,63,contrast enhancement,no,7,0.796,0.614,0.693,0.184
YOLOv8n,75,0.0001,640x640,63,no,flip horizontal vertical & 2x,7,0.735,0.655,0.693,0.813
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,rotate & shear & flip horizontal vertical & brightness & translate & zoom in & 2x,7,0.879,0.57,0.692,0.154
Mask RCNN,50,0.0001,480x480,63,resize 480x480 & gaussian filter,no,7,0.82,0.599,0.692,0.95
Mask RCNN,75,0.0001,480x480,45,gaussian filter & grayscale,flip horizontal vertical & 2x,5,0.554,0.921,0.692,0.207
YOLOv8n,75,0.0001,720x720,45,grayscale,no,5,0.802,0.609,0.692,1.105
UNet,50,0.0001,480x480,63,no,flip horizontal vertical & 2x,7,0.882,0.567,0.69,0.214
Mask RCNN,50,0.0001,480x480,63,resize 480x480 & adaptive median filter 5 & grayscale,flip horizontal vertical & 2x,7,0.602,0.805,0.689,0.081
YOLOv8n,75,0.0001,720x720,45,no,flip horizontal vertical & 2x,5,0.731,0.652,0.689,1.112
Mask RCNN,50,0.0001,480x480,63,adaptive median filter 5 & gaussian filter & contrast enhancement,flip horizontal vertical & 2x,7,0.848,0.579,0.688,0.106
YOLOv8n,50,0.0001,720x720,63,gaussian filter,no,7,0.775,0.618,0.688,0.812
Mask RCNN,50,0.0001,480x480,63,adaptive median filter 3,rotate & flip horizontal vertical & shear & brightness & scale & zoom in & 2x,7,0.896,0.556,0.686,0.775
Mask RCNN,50,0.0001,480x480,63,adaptive median filter 7 & gaussian filter & contrast enhancement,no,7,0.772,0.618,0.686,0.1
YOLOv8n,75,0.0001,720x720,45,grayscale,flip horizontal vertical & 2x,5,0.763,0.623,0.686,1.081
UNet,50,0.0001,720x720,63,no,flip horizontal vertical & 2x,7,0.87,0.565,0.685,0.22
Mask RCNN,50,0.0001,480x480,63,resize 640x640 & adaptive median filter 3 & grayscale,flip horizontal vertical & 2x,7,0.587,0.819,0.684,1.125
Mask RCNN,50,0.0001,480x480,63,adaptive median filter 3 & gaussian filter & contrast enhancement,no,7,0.849,0.571,0.683,0.776
UNet,50,0.0001,720x720,63,gaussian filter,no,7,0.841,0.575,0.683,0.294
UNet,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,scale & 2x,7,0.541,0.922,0.682,4.031
UNet,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,translate & 2x,7,0.867,0.562,0.682,4.033
Mask RCNN,50,0.0001,480x480,45,grayscale & sharpening & adaptive median filter 7 & bilateral smooth filter 9 75 75,flip horizontal vertical & 2x,5,0.55,0.894,0.681,0.131
Mask RCNN,75,0.0001,480x480,63,grayscale,no,7,0.551,0.889,0.68,0.128
UNet,50,0.0001,720x720,63,gaussian filter,flip horizontal vertical & 2x,7,0.862,0.562,0.68,0.268
UNet,50,0.0001,480x480,63,gaussian filter,no,7,0.852,0.565,0.679,0.256
UNet,50,0.0001,720x720,63,grayscale,flip horizontal vertical & 2x,7,0.616,0.755,0.678,0.228
Mask RCNN,50,0.0001,480x480,63,sharpening,no,7,0.884,0.549,0.677,0.121
Mask RCNN,50,0.0001,640x640,63,gaussian filter,no,7,0.727,0.634,0.677,0.175
YOLOv8n,50,0.0001,720x720,63,gaussian filter,flip horizontal vertical & 2x,7,0.79,0.592,0.677,0.866
YOLOv8n,50,0.0001,720x720,63,no,no,7,0.73,0.632,0.677,0.864
YOLOv8n,75,0.0001,480x480,45,grayscale,flip horizontal vertical & 2x,5,0.788,0.594,0.677,1.111
Mask RCNN,75,0.0001,640x640,63,grayscale,no,7,0.614,0.752,0.676,0.212
Mask RCNN,75,0.0001,720x720,63,grayscale,no,7,0.633,0.725,0.676,0.122
YOLOv8n,50,0.0001,720x720,63,grayscale,no,7,0.727,0.632,0.676,0.84
YOLOv8n,75,0.0001,720x720,63,grayscale,no,7,0.745,0.618,0.676,0.834
Mask RCNN,50,0.0001,480x480,63,resize 720x720 & gaussian filter,no,7,0.849,0.56,0.675,0.103
Mask RCNN,50,0.0001,640x640,63,grayscale,flip horizontal vertical & 2x,7,0.622,0.738,0.675,0.158
YOLOv8n,75,0.0001,640x640,45,gaussian filter,flip horizontal vertical & 2x,5,0.683,0.667,0.675,1.085
Mask RCNN,50,0.0001,480x480,63,grayscale & sharpening & adaptive median filter 3 & bilateral smooth filter 5 50 50,flip horizontal vertical & 2x,7,0.617,0.742,0.674,0.153
YOLOv8n,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,flip horizontal vertical & 2x,5,0.803,0.58,0.674,1.207
YOLOv8n,75,0.0001,640x640,45,no,no,5,0.702,0.648,0.674,1.072
Mask RCNN,50,0.0001,480x480,63,resize 720x720 & adaptive median filter 3 & grayscale,flip horizontal vertical & 2x,7,0.578,0.805,0.673,0.074
Mask RCNN,50,0.0001,480x480,63,resize 720x720 & adaptive median filter 5 & grayscale,no,7,0.643,0.706,0.673,0.091
YOLOv8n,75,0.0001,720x720,45,no,no,5,0.8,0.581,0.673,1.137
Mask RCNN,50,0.0001,480x480,63,resize 640x640 & adaptive median filter 5 & grayscale,flip horizontal vertical & 2x,7,0.568,0.823,0.672,0.208
Mask RCNN,50,0.0001,480x480,45,grayscale & sharpening & adaptive median filter 5 & bilateral smooth filter 9 75 75,flip horizontal vertical & 2x,5,0.524,0.933,0.671,0.109
YOLOv8n,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,translate & 2x,7,0.775,0.592,0.671,0.907
YOLOv8n,50,0.0001,640x640,63,no,no,7,0.716,0.632,0.671,0.828
Mask RCNN,50,0.0001,480x480,63,adaptive median filter 3,crop & rotate & brightness & scale & translate & 2x,7,0.889,0.538,0.67,0.746
Mask RCNN,50,0.0001,480x480,63,erosion & dilation & gabor filter & gaussian filter,flip horizontal vertical & 2x,7,0.678,0.663,0.67,0.082
YOLOv8n,75,0.0001,720x720,45,gaussian filter & grayscale,no,5,0.689,0.652,0.67,1.253
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,no,7,0.883,0.539,0.669,0.141
Mask RCNN,50,0.0001,720x720,63,gaussian filter,no,7,0.805,0.572,0.669,0.104
UNet,75,0.0001,640x640,63,gaussian filter,no,7,0.935,0.52,0.668,0.301
UNet,50,0.0001,480x480,63,grayscale,flip horizontal vertical & 2x,7,0.64,0.696,0.667,0.208
Mask RCNN,50,0.0001,480x480,45,grayscale & sharpening & adaptive median filter 7 & bilateral smooth filter 5 50 50,no,5,0.523,0.918,0.666,0.235
Mask RCNN,50,0.0001,480x480,63,grayscale & sharpening & adaptive median filter 3 & bilateral smooth filter 9 75 75,no,7,0.559,0.82,0.665,0.964
Mask RCNN,50,0.0001,480x480,63,resize 480x480 & adaptive median filter 3 & grayscale,flip horizontal vertical & 2x,7,0.561,0.815,0.665,0.194
Mask RCNN,50,0.0001,480x480,63,resize 640x640 & adaptive median filter 3 & grayscale,no,7,0.58,0.78,0.665,1.269
YOLOv8n,50,0.0001,480x480,45,no,no,5,0.714,0.623,0.665,1.454
YOLOv8n,75,0.0001,480x480,45,gaussian filter,flip horizontal vertical & 2x,5,0.754,0.594,0.665,1.073
Mask RCNN,50,0.0001,480x480,63,grayscale & sharpening & adaptive median filter 5 & bilateral smooth filter 5 50 50,flip horizontal vertical & 2x,7,0.566,0.803,0.664,0.168
Mask RCNN,75,0.0001,640x640,63,grayscale,flip horizontal vertical & 2x,7,0.67,0.658,0.664,0.211
UNet,50,0.0001,720x720,45,grayscale,flip horizontal vertical & 2x,5,0.515,0.934,0.664,0.305
YOLOv8n,50,0.0001,720x720,45,grayscale,flip horizontal vertical & 2x,5,0.726,0.609,0.662,1.115
Mask RCNN,50,0.0001,480x480,45,erosion & dilation & gabor filter & gaussian filter,no,5,0.5,0.974,0.661,1.195
Mask RCNN,50,0.0001,480x480,63,grayscale & sharpening & adaptive median filter 3 & bilateral smooth filter 5 50 50,no,7,0.608,0.725,0.661,0.149
UNet,50,0.0001,480x480,63,grayscale,no,7,0.542,0.846,0.661,0.211
YOLOv8n,75,0.0001,480x480,45,grayscale,no,5,0.797,0.565,0.661,1.211
YOLOv8n,75,0.0001,720x720,63,gaussian filter,no,7,0.659,0.66,0.659,0.892
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,crop & 2x,7,0.894,0.52,0.658,0.113
YOLOv8n,50,0.0001,720x720,63,grayscale,flip horizontal vertical & 2x,7,0.703,0.618,0.658,0.838
Mask RCNN,50,0.0001,480x480,63,grayscale & sharpening & adaptive median filter 5 & bilateral smooth filter 9 75 75,flip horizontal vertical & 2x,7,0.545,0.826,0.657,0.088
Mask RCNN,50,0.0001,480x480,63,resize 480x480,flip horizontal vertical & 2x,7,0.884,0.523,0.657,0.077
YOLOv8n,50,0.0001,640x640,45,no,no,5,0.648,0.666,0.657,1.14
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,shear & 2x,7,0.902,0.515,0.656,0.076
Mask RCNN,50,0.0001,480x480,63,resize 640x640,no,7,0.877,0.524,0.656,0.092
Mask RCNN,50,0.0001,480x480,63,adaptive median filter 3,rotate & flip horizontal vertical & brightness & gaussian blur & contrast enhancement & sharp & 2x,7,0.883,0.521,0.655,0.085
YOLOv8n,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,translate & 2x,5,0.708,0.609,0.655,1.202
YOLOv8n,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,scale & 2x,7,0.733,0.592,0.655,0.911
Mask RCNN,50,0.0001,480x480,45,resize 480x480 & adaptive median filter 3 & grayscale,no,5,0.931,0.504,0.654,0.254
UNet,50,0.0001,720x720,63,no,no,7,0.883,0.519,0.654,7.876
YOLOv8n,50,0.0001,480x480,45,gaussian filter,flip horizontal vertical & 2x,5,0.775,0.565,0.654,1.167
BiseNet,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,scale & 2x,7,0.497,0.951,0.653,0.277
Mask RCNN,75,0.0001,480x480,63,gaussian filter & grayscale,flip horizontal vertical & 2x,7,0.599,0.717,0.653,0.169
YOLOv8n,50,0.0001,640x640,45,grayscale,no,5,0.653,0.654,0.653,1.351
Mask RCNN,50,0.0001,480x480,45,grayscale & sharpening & adaptive median filter 7 & bilateral smooth filter 5 50 50,flip horizontal vertical & 2x,5,0.492,0.968,0.652,0.239
YOLOv8n,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,flipHorizontalVertical & 2x,7,0.793,0.553,0.652,0.955
YOLOv8n,50,0.0001,720x720,45,gaussian filter,no,5,0.722,0.594,0.652,1.132
Mask RCNN,50,0.0001,640x640,63,grayscale,no,7,0.662,0.64,0.651,0.161
Mask RCNN,50,0.0001,720x720,63,grayscale,no,7,0.597,0.715,0.651,0.258
YOLOv8n,75,0.0001,720x720,63,gaussian filter,flip horizontal vertical & 2x,7,0.672,0.632,0.651,0.837
Mask RCNN,50,0.0001,480x480,63,adaptive median filter 7,no,7,0.889,0.512,0.65,0.103
SegNet,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,translate & 2x,7,0.886,0.512,0.649,0.638
Mask RCNN,50,0.0001,480x480,63,no,flip horizontal vertical & 2x,7,0.891,0.509,0.648,0.076
YOLOv8n,50,0.0001,640x640,63,gaussian filter,flip horizontal vertical & 2x,7,0.736,0.579,0.648,0.82
Mask RCNN,50,0.0001,480x480,63,resize 720x720,no,7,0.883,0.511,0.647,0.102
Mask RCNN,50,0.0001,480x480,63,resize 720x720 & adaptive median filter 3 & grayscale,no,7,0.649,0.643,0.646,0.924
Mask RCNN,50,0.0001,480x480,63,resize 720x720 & adaptive median filter 7 & grayscale,flip horizontal vertical & 2x,7,0.498,0.92,0.646,0.221
